iter	Passed	Remaining
0	231	231361
1	299	149348
2	363	120957
3	429	106907
4	506	100699
5	583	96735
6	655	92986
7	727	90228
8	807	88904
9	874	86587
10	961	86451
11	1044	86031
12	1124	85405
13	1203	84779
14	1277	83902
15	1350	83042
16	1427	82524
17	1499	81785
18	1570	81069
19	1647	80704
20	1722	80286
21	1805	80261
22	1875	79647
23	1941	78957
24	2008	78341
25	2070	77574
26	2143	77249
27	2207	76617
28	2285	76518
29	2361	76360
30	2428	75912
31	2495	75484
32	2549	74709
33	2617	74359
34	2683	73991
35	2748	73600
36	2813	73218
37	2880	72925
38	2943	72534
39	3019	72477
40	3089	72266
41	3159	72072
42	3227	71829
43	3298	71676
44	3365	71431
45	3443	71410
46	3518	71340
47	3608	71571
48	3695	71716
49	3762	71492
50	3831	71296
51	3904	71176
52	3973	70990
53	4039	70760
54	4110	70619
55	4178	70439
56	4245	70229
57	4313	70063
58	4382	69901
59	4456	69820
60	4531	69760
61	4610	69756
62	4679	69592
63	4737	69279
64	4805	69128
65	4870	68924
66	4938	68769
67	5005	68603
68	5077	68514
69	5148	68397
70	5219	68289
71	5290	68185
72	5359	68061
73	5429	67946
74	5499	67830
75	5583	67880
76	5648	67712
77	5722	67638
78	5793	67536
79	5861	67412
80	5935	67342
81	6006	67245
82	6083	67212
83	6153	67101
84	6223	66995
85	6291	66862
86	6363	66779
87	6434	66687
88	6502	66555
89	6580	66537
90	6662	66555
91	6731	66437
92	6800	66326
93	6868	66200
94	6939	66110
95	7006	65974
96	7076	65877
97	7156	65872
98	7224	65747
99	7292	65636
100	7366	65565
101	7436	65472
102	7508	65392
103	7591	65399
104	7667	65359
105	7750	65370
106	7819	65260
107	7889	65161
108	7962	65086
109	8033	64998
110	8105	64913
111	8178	64847
112	8254	64790
113	8326	64709
114	8396	64618
115	8465	64513
116	8539	64444
117	8625	64470
118	8711	64491
119	8783	64409
120	8854	64321
121	8924	64228
122	8996	64144
123	9072	64090
124	9149	64044
125	9221	63964
126	9294	63890
127	9368	63821
128	9438	63729
129	9512	63658
130	9588	63607
131	9661	63531
132	9745	63530
133	9823	63484
134	9890	63372
135	9961	63285
136	10034	63212
137	10105	63122
138	10174	63023
139	10250	62967
140	10320	62873
141	10389	62774
142	10458	62680
143	10538	62646
144	10611	62570
145	10683	62490
146	10768	62487
147	10843	62422
148	10903	62273
149	10973	62181
150	11041	62082
151	11110	61984
152	11177	61879
153	11254	61828
154	11336	61800
155	11406	61712
156	11480	61643
157	11555	61582
158	11629	61509
159	11704	61448
160	11788	61432
161	11891	61511
162	11965	61443
163	12037	61361
164	12107	61269
165	12183	61212
166	12258	61144
167	12343	61130
168	12418	61064
169	12491	60989
170	12568	60929
171	12644	60870
172	12713	60773
173	12794	60738
174	12874	60694
175	12949	60627
176	13020	60543
177	13092	60461
178	13162	60369
179	13235	60293
180	13305	60203
181	13385	60162
182	13457	60079
183	13529	60000
184	13601	59918
185	13670	59828
186	13739	59735
187	13821	59696
188	13905	59669
189	13974	59573
190	14046	59497
191	14113	59395
192	14177	59282
193	14247	59191
194	14317	59105
195	14396	59055
196	14460	58941
197	14533	58869
198	14605	58789
199	14671	58685
200	14737	58581
201	14809	58503
202	14879	58420
203	14953	58347
204	15037	58316
205	15108	58234
206	15187	58180
207	15261	58112
